2022/12/20,1675621
2022/12/22,1676921
2022/12/26,1636619
2022/12/29,1596415
2022/12/30,1557509
2022/12/31,1520810
2023/01/01,1451915
2023/01/02,1453053
2023/01/03,1392984
2023/01/04,1366279
2023/01/05,1340565
2023/01/06,1316342
2023/01/09,1272281
2023/01/10,1251044
2023/01/12,1210410
2023/01/14,1192443
2023/01/15,1173613
2023/01/17,1156808
2023/01/18,1139795
2023/01/19,1123339
2023/01/20,1107249
2023/01/22,1092873
2023/01/23,1077994
2023/01/24,1048537
2023/01/25,1035121
2023/01/27,1022992
2023/01/30,960777
2023/02/01,950861
2023/02/02,939847
2023/02/03,929232
2023/02/04,918880
2023/02/06,909528
2023/02/07,899787
2023/02/08,880295
2023/02/09,861507
2023/02/11,844224
2023/02/12,835675
2023/02/13,827406
2023/02/14,802509
2023/02/15,794869
2023/02/16,779318
2023/02/18,757756
2023/02/25,747356
2023/03/01,742698
2023/03/02,729121
2023/03/05,724004
2023/03/11,720428
2023/03/12,714266
2023/03/13,708167
2023/03/17,703978
2023/03/21,687212
2023/03/23,676386
2023/03/24,671079
2023/03/25,665590
2023/04/21,667387
2023/05/02,660738
2023/05/09,651851
